lineup,minutes,points_scored,2_pointers_made,3_pointers_made,free_throws_made,assists,rebounds,blocks,steals,turnovers,fouls,points_allowed
200765_201950_202703_202734_203076,204.32,515.0,147,52,65,120,505,36,41,156,80,440.0
200765_201950_202734_203076_2731,157.05,380.0,138,26,26,101,392,27,30,113,50,355.0
200768_201942_201960_202335_202685,147.38,373.0,95,37,72,76,327,14,22,89,49,295.0
200768_201942_201960_202685_203512,107.78,246.0,77,15,47,46,242,14,21,76,45,221.0
200768_202335_202709_203082_203512,198.82,451.0,106,64,47,90,448,24,37,183,81,396.0
200782_201569_201935_203516_203991,123.4,289.0,75,32,43,66,260,17,18,91,51,277.0
200782_201569_201935_203991_2772,159.88,356.0,81,37,83,71,367,16,29,116,57,338.0
200794_203145_203471_203501_2730,239.4,508.0,154,38,86,123,560,22,36,175,89,503.0
200794_203145_203471_2594_2730,205.3,406.0,129,34,46,107,493,22,41,170,77,441.0
201142_201580_201939_202691_203110,225.08,601.0,158,73,66,174,526,28,43,171,79,457.0
201142_201939_202326_202691_203110,268.1,679.0,191,74,75,200,652,43,45,197,105,602.0
201142_201939_202691_203110_2585,945.42,2461.0,631,292,277,709,2071,110,189,770,330,2106.0
201142_201939_202691_203110_2738,530.28,1488.0,324,177,309,341,1296,92,104,456,229,1242.0
201142_202691_2561_2733_2738,217.18,473.0,164,31,52,129,514,29,36,201,91,423.0
201143_202340_202738_203109_203935,134.82,360.0,88,29,97,65,324,10,24,115,68,333.0
201143_202738_203109_203482_203935,103.6,243.0,43,34,55,51,227,8,13,65,49,269.0
201144_201188_202066_203210_203937,120.25,265.0,73,25,44,65,250,19,17,83,61,273.0
201144_201188_202718_203210_2754,281.0,550.0,171,47,67,135,590,16,57,219,119,586.0
201144_201188_203210_203516_2754,153.75,289.0,77,28,51,64,334,14,28,122,69,305.0
201145_201586_202696_203095_203901,180.78,350.0,108,27,53,78,442,33,26,138,58,350.0
201145_203078_203107_203490_2772,100.73,252.0,55,34,40,65,211,12,23,71,49,259.0
201147_201566_202331_203500_2546,344.68,812.0,213,81,143,165,823,23,73,283,139,795.0
201149_201565_201584_204001_2546,395.18,843.0,272,67,98,181,919,44,44,254,141,895.0
201149_201584_201943_204001_2546,108.93,223.0,58,25,32,52,259,14,16,78,50,235.0
201163_201568_203914_203999_2749,197.9,478.0,141,40,76,112,439,17,29,135,83,458.0
201167_201585_201954_202066_202326,113.43,229.0,63,23,34,52,226,12,15,78,46,237.0
201228_201586_202696_203901_203932,112.0,236.0,85,12,30,61,251,5,22,77,51,269.0
201565_201584_202498_204001_2546,108.57,257.0,71,21,52,46,257,9,19,78,46,238.0
201566_201959_203460_203500_203506,207.63,464.0,165,28,50,118,477,25,51,172,72,413.0
201566_202331_203460_203500_2546,537.82,1206.0,388,90,160,263,1209,46,139,462,192,1037.0
201566_202331_203471_203500_203924,435.07,1135.0,294,110,217,220,1052,46,81,321,203,1070.0
201566_202331_203500_203518_203924,133.27,336.0,83,37,52,72,295,13,34,103,65,283.0
201566_202331_203500_203518_2546,197.87,486.0,124,56,70,96,471,17,29,142,80,476.0
201566_202331_203500_203924_2546,122.33,301.0,85,24,59,67,283,18,12,86,68,304.0
201566_202331_203500_203962_2546,175.5,421.0,128,36,57,81,394,20,37,137,61,391.0
201566_203460_203500_203506_203924,128.68,334.0,67,37,89,45,311,20,26,98,70,305.0
201567_202681_202684_202697_2544,226.87,516.0,146,49,77,102,510,10,37,156,83,501.0
201567_202681_202684_202732_2544,181.13,480.0,112,62,70,101,383,18,42,141,42,363.0
201567_202681_202684_2544_2747,453.8,1097.0,276,136,137,258,1006,37,73,313,151,1047.0
201567_202738_203109_2544_2747,101.12,206.0,49,22,38,45,231,5,18,81,39,245.0
201568_201599_201933_201976_203085,146.32,317.0,77,32,49,54,309,14,28,109,48,297.0
201569_201583_201935_203991_2772,490.38,1133.0,261,150,161,260,1104,43,72,343,162,1026.0
201569_201583_201935_2403_2772,240.78,580.0,118,71,131,108,566,16,46,194,98,543.0
201569_201935_201976_203991_2772,103.98,269.0,65,30,49,55,238,7,16,71,39,246.0
201571_201586_202687_203095_203932,196.42,384.0,116,37,41,93,445,22,16,130,83,421.0
201571_202696_203082_203095_203932,324.57,754.0,193,88,104,184,748,37,42,235,142,709.0
201571_202696_203095_203613_203932,300.7,678.0,181,80,76,171,657,25,44,204,105,668.0
201583_201935_201976_203991_2772,504.77,1292.0,281,182,184,310,1088,35,95,399,186,1111.0
201583_201935_201976_2403_2772,156.52,367.0,84,43,70,84,367,12,28,129,73,357.0
201586_201942_201960_202685_202709,232.88,483.0,157,37,58,99,529,33,33,159,86,477.0
201586_202696_203095_203901_203932,296.17,636.0,220,40,76,151,648,24,44,192,120,639.0
201587_202689_203077_203087_203469,102.18,228.0,58,26,34,44,231,9,13,60,45,218.0
201588_202324_202330_203497_203918,152.2,294.0,86,25,47,74,313,16,20,119,41,296.0
201588_202324_202330_203497_204060,148.47,321.0,93,29,48,70,334,14,20,112,49,262.0
201588_202330_203497_203918_2564,118.82,248.0,72,18,50,53,274,14,7,66,38,214.0
201588_202330_203497_204060_2207,141.12,297.0,70,31,64,58,323,12,21,99,40,286.0
201600_202734_203076_203524_204025,115.58,256.0,79,16,50,61,268,12,17,73,38,247.0
201609_201949_201961_202355_204020,106.1,217.0,60,21,34,45,266,14,13,81,48,214.0
201609_201949_201961_203186_204020,105.55,223.0,63,20,37,45,269,19,16,99,45,218.0
201609_202337_202355_203079_203585,246.35,537.0,146,62,59,114,545,33,29,187,101,530.0
201933_202397_203083_203493_203516,164.55,329.0,103,29,36,81,377,12,21,112,70,379.0
201933_202704_203083_203493_203922,152.93,330.0,93,39,27,85,334,11,26,132,61,342.0
201937_202324_203497_203918_204060,117.8,247.0,70,25,32,58,258,12,20,93,45,255.0
201939_202691_203110_2585_2738,114.98,312.0,83,34,44,88,259,14,24,90,49,248.0
201950_201967_202326_202734_203076,187.83,434.0,126,37,45,112,419,29,36,154,64,421.0
201950_201967_202734_203076_203524,107.03,252.0,79,15,49,54,251,19,18,70,35,243.0
201950_202325_202703_202734_203076,135.88,323.0,101,30,31,91,318,23,20,101,55,331.0
201950_202734_203076_203901_203944,116.0,321.0,91,30,49,76,251,12,23,84,38,276.0
201950_203076_203524_203944_204025,102.8,255.0,83,16,41,66,229,14,20,80,36,238.0
201952_201959_202710_203476_203952,124.93,278.0,93,14,50,54,251,10,23,77,37,310.0
202322_202693_203078_203490_2730,128.4,300.0,88,33,25,75,282,12,25,108,58,326.0
202323_202329_203081_203468_203994,802.92,1863.0,529,170,295,377,1958,101,127,505,335,1677.0
202323_202329_203468_203894_203994,165.85,327.0,110,22,41,61,387,15,22,107,55,376.0
202323_203081_203468_203486_203943,117.55,241.0,80,20,21,56,270,2,26,104,41,237.0
202329_203081_203090_203468_203486,254.42,575.0,163,65,54,142,584,39,41,180,94,521.0
202329_203081_203090_203468_203994,1257.78,3026.0,859,276,480,631,2873,170,214,862,529,2792.0
202330_203497_203918_203957_2564,127.77,270.0,76,30,28,64,274,13,10,89,45,215.0
202334_203081_203090_203468_203486,164.5,406.0,108,49,43,97,347,12,22,103,69,412.0
202339_203089_203114_203503_203507,605.4,1371.0,412,109,220,306,1326,82,107,458,252,1288.0
202340_202397_202699_203083_203493,134.65,280.0,85,27,29,71,299,17,24,96,48,326.0
202397_202694_202699_203083_203484,492.88,1054.0,350,75,129,229,1077,40,77,305,169,1118.0
202397_202694_202699_203382_203484,100.45,218.0,58,20,42,37,274,10,13,77,46,194.0
202397_202694_202720_203083_203484,190.08,351.0,118,27,34,83,465,20,21,109,66,376.0
202397_202699_202720_203083_203484,110.52,235.0,81,14,31,52,247,9,16,56,43,240.0
202681_202684_202697_2210_2544,131.33,306.0,80,36,38,60,305,13,14,80,39,268.0
202687_203082_203095_203901_203932,108.0,249.0,74,20,41,51,247,8,14,74,50,234.0
202687_203095_203613_203901_203932,219.4,458.0,136,42,60,121,509,32,25,152,81,496.0
202691_203110_2561_2733_2738,241.37,472.0,170,27,51,150,564,39,44,207,104,434.0
202694_202699_202704_203083_203484,385.0,781.0,237,74,85,160,842,28,48,238,133,855.0
202694_202704_202720_203083_203484,404.62,830.0,270,67,89,183,895,26,66,276,132,909.0
202696_203082_203095_203901_203932,589.58,1430.0,432,123,182,335,1346,56,113,401,216,1405.0
202696_203095_203613_203901_203932,197.37,464.0,128,46,70,96,419,17,36,139,83,509.0
203081_203090_203459_203468_203486,107.27,282.0,75,26,54,54,239,12,17,75,62,255.0
203081_203090_203468_203943_203994,325.55,708.0,228,53,93,143,752,41,46,232,130,677.0
203089_203503_203507_203521_203953,389.05,839.0,258,64,131,194,934,56,57,292,168,854.0
203101_203503_203507_203521_203953,137.4,291.0,93,22,39,75,298,15,26,121,62,283.0
