lineup,minutes,points_scored,2_pointers_made,3_pointers_made,free_throws_made,assists,rebounds,blocks,steals,turnovers,fouls,points_allowed
1626145_202357_203476_2037_203952,125.5,278.0,72,25,59,49,346,8,20,125,48,293.0
1626149_201569_201583_201935_2772,174.98,488.0,98,62,106,94,405,22,27,124,71,405.0
1626149_201583_201935_201976_2772,195.73,445.0,100,61,62,98,451,16,36,159,77,440.0
1626150_1627786_201188_203210_2754,110.33,210.0,64,15,37,44,266,12,20,82,56,222.0
1626150_1628415_201188_201936_203210,195.83,416.0,122,44,40,100,410,16,33,156,90,368.0
1626153_1626181_1627751_1627783_1627832,114.15,236.0,70,22,30,45,269,18,30,115,63,220.0
1626155_201147_201569_201976_2403,138.15,319.0,70,51,26,80,390,15,25,138,64,262.0
1626155_201569_201935_2403_2772,136.53,319.0,73,37,62,73,344,11,27,112,45,315.0
1626156_1626178_1628386_203459_203925,125.88,309.0,74,43,32,76,290,14,26,114,46,277.0
1626156_1626203_1628386_1629066_203925,149.8,366.0,107,40,32,90,357,5,17,109,56,387.0
1626156_1626204_1627742_203903_203944,107.63,208.0,71,15,21,45,236,9,19,80,53,270.0
1626156_1627742_201156_203944_204028,137.65,290.0,73,39,27,63,323,12,23,111,59,323.0
1626156_1627747_1628386_201162_203925,188.97,415.0,110,50,45,112,436,21,30,140,80,410.0
1626156_1628386_201960_203459_203915,127.3,293.0,73,38,33,81,288,11,19,94,53,278.0
1626156_201156_202389_203944_2736,402.8,903.0,237,105,114,212,921,20,58,293,171,852.0
1626157_1627739_203476_203897_203952,159.25,358.0,113,28,48,75,320,14,28,118,62,379.0
1626157_1629006_201952_201959_203952,114.67,283.0,78,26,49,56,289,11,25,108,57,253.0
1626157_201565_201952_201959_203952,133.78,361.0,110,28,57,84,296,16,26,89,62,337.0
1626157_201575_201937_203476_203952,596.1,1312.0,423,84,214,315,1259,53,82,423,205,1295.0
1626157_201937_203476_203498_203952,155.65,381.0,122,25,62,91,329,4,31,102,52,342.0
1626157_201937_203476_203897_203952,879.9,1898.0,589,133,321,460,1911,84,132,634,320,1915.0
1626157_201952_201959_202357_203952,381.53,883.0,287,57,138,181,869,29,53,259,128,826.0
1626157_201952_201959_202710_203952,1169.22,2676.0,827,190,452,572,2574,115,229,865,421,2505.0
1626157_201952_201959_203496_203952,230.17,502.0,133,55,71,129,536,25,44,193,82,484.0
1626157_201952_201959_2037_203952,105.75,252.0,72,19,51,51,214,16,6,58,42,251.0
1626159_1626196_1628389_201961_203482,154.92,337.0,85,43,38,95,360,19,26,123,67,282.0
1626159_1626196_1628389_203079_203482,120.3,306.0,78,38,36,77,252,6,16,94,52,264.0
1626159_1626196_201609_202355_203079,124.32,237.0,72,21,30,45,298,11,17,104,45,223.0
1626159_1626196_201609_202355_204020,128.35,289.0,79,27,50,62,314,12,23,87,53,280.0
1626159_1626196_201949_202355_203585,174.03,364.0,110,39,27,94,421,16,19,113,61,377.0
1626159_1626196_201949_202355_204020,107.62,239.0,76,21,24,63,257,16,20,88,40,209.0
1626161_1627741_1628368_202357_202697,499.8,1175.0,312,145,116,302,1195,49,100,431,210,1159.0
1626161_1627741_1628368_202357_203084,259.07,629.0,181,63,78,154,621,20,50,178,98,627.0
1626161_1627741_1628368_202357_203992,152.0,368.0,101,37,55,90,383,14,30,110,77,369.0
1626161_1627741_1628368_203084_203992,191.92,450.0,127,38,82,90,468,19,31,131,86,458.0
1626161_1627746_1628368_1628382_203992,108.72,214.0,70,15,29,51,221,10,15,93,44,250.0
1626161_1628368_1628382_203992_2216,174.43,372.0,123,31,33,91,379,14,25,123,55,396.0
1626161_201588_202066_203992_2216,143.73,289.0,93,21,40,62,300,13,16,103,58,331.0
1626162_202322_202693_203078_203490,192.88,496.0,116,44,132,90,485,16,35,157,95,492.0
1626163_1626203_203087_203487_203948,119.07,243.0,65,22,47,46,302,10,27,101,57,252.0
1626163_201587_202689_203077_203469,164.78,364.0,102,33,61,94,382,13,34,108,60,345.0
1626163_201587_202689_203077_2730,132.6,311.0,79,34,51,76,270,6,17,81,33,335.0
1626163_201587_202689_203087_2730,109.53,259.0,64,29,44,52,265,13,13,65,37,240.0
1626164_1627737_1627755_203458_203933,173.23,401.0,136,22,63,77,406,21,37,141,87,407.0
1626164_1627737_1627755_203933_2199,158.88,380.0,119,36,34,88,359,22,24,126,71,361.0
1626164_1627737_1628455_203933_2199,103.57,230.0,75,16,32,54,258,17,16,76,48,218.0
1626164_1627737_200782_202339_2199,283.55,605.0,170,56,97,112,639,20,52,250,134,630.0
1626164_1627737_202339_203458_203933,206.7,464.0,159,27,65,94,480,26,34,159,93,520.0
1626164_1627737_202339_203933_2199,298.47,661.0,200,43,132,135,681,27,65,241,148,691.0
1626164_1628969_1629001_1629028_203933,190.92,434.0,127,43,51,106,398,13,51,164,93,502.0
1626164_200782_202339_203933_2199,156.55,410.0,103,33,105,57,370,11,24,123,79,381.0
1626164_201162_202339_203933_2199,114.68,261.0,82,19,40,49,264,5,18,83,60,263.0
1626167_201152_201936_201954_202711,260.7,613.0,178,60,77,160,539,37,63,225,104,554.0
1626167_201152_201952_202331_203922,376.23,866.0,248,76,142,202,833,54,71,282,109,814.0
1626167_201152_201954_202083_202711,325.32,724.0,179,82,120,177,728,38,55,237,123,724.0
1626167_201152_201954_202709_202711,124.6,271.0,78,26,37,65,277,11,27,94,44,247.0
1626167_201152_201954_202711_203506,1250.57,2753.0,793,281,324,637,2727,161,251,962,432,2657.0
